用户名,会员等级,商品信息,评论内容,评论时间,评分,版本,颜色,回复数,点赞数
阳***h,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,给亲爱的老公大人买的? 老公用了说不错呢，双十一当天晚上抢到的[胜利]为了买苹果X我也是狠了心做好了勒紧裤腰带的准备[捂脸]现在心还是隐痛隐痛滴[心碎]开始的前几天一直没有货十六号配送的，原本以为起码要等十多天的[坏笑][坏笑]机子刚拿到手内心还是有点小激动的！！！机子整体没有毛病，唯一不足的就是 人脸解锁没有指纹的快，有点小沮丧。。。应该时间用长了就习惯了吧? 主要是它的芯片是智能的。这点还是非常棒的。        其实买很多产品都会出现瑕疵品，就像中奖一样，看你运气好不好了。我在这里呢跟大家分享下自己的一些小经验哟：大家怎么看自己的手机是否有问题，而且还支持退货！        首先 不要激活，检查外观，看看手机是否有小裂痕之类的，然后检查摄像头是否有灰尘。如果外观没有任何问题的话，然后开机检查屏幕 是否有 红线等情况。记住哟先不要激活，因为激活之后很难退货或者换新了? 因为X开机是白色的 所以很好分辨，如果没有问题那就可以激活了，到这个步骤的话没有出现问题~那恭喜你，没有中奖！希望这些技巧 能帮到大家，如果对大家有用的话 就给我点个赞吧 。     机子不错,2017-11-22 19:47:01,5,公开版,深空灰色,823,2180
浩***7,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,手机是1.18下的单，第二天收到的货，收到以后打开包装未激活情况下仔仔细细检查了一遍外观，发现后摄像头里边有一粒小灰尘，电源键旁边有一道小划痕，联系了京东客服本来打算换货的，但是给出的时间是要等机子收回去检测以后，确定是问题了再换，要花上一星期以上，时间有点久。不是很影响，不是处女座，就激活了使用。用了半个月了，说一下使用感受，不是果粉，上个手机是华为用了两年半，实在卡的不行了就换了，体验体验苹果系统，客观的评价一下。1.面部解锁，识别率很高，晚上一样，侧面一样，精准度高，不过我在使用的时候发现闭眼情况下解不了锁;2.重量上相较与之间用过的手机要重一点，不过对于健身的人来说，刚刚好;3.关于刘海，使用过程中不会过多的去关注刘海的位置;4.屏幕，使用的是OLED屏幕，色彩还原度好，屏幕细腻;说了这么多好像都不是问题，但是使用过程中确实没有遇到什么问题，没有所说的屏幕失灵问题（南京最近零下十几度），买的是深空灰的，掉漆问题没发现，买了保护套。用的来说，体验效果不错，做工很喜欢！就先写这么多吧，不黑不捧，自己体会！,2018-02-02 19:49:03,5,公开版,深空灰色,8,34
龙***0,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,目前见过最好的手机，用了一会不敢用了，因为越用越爽，喜欢上就麻烦了，因为是送给老婆的?,2018-01-04 20:32:02,5,公开版,深空灰色,255,854
如***n,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,电池续航还可以，颜值，质量好，软件最强。拍照与摄像功能都很强。,2018-03-06 18:45:53,5,公开版,深空灰色,12,57
j***6,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,京东商城购买的手机到了，包装一拆就用起来了。感觉非常棒，超级喜欢。有纸质发票。非常正规。系统很稳定，相机像素比前面机型好很多。单手操作起来更方便。凌晨下单，早上已经送到家里。在京东买手机，拿到手过了一个晚上查的序列号，都没问题，手机也很好，乱七八糟的问题也没出现，拍了下照片真心不错，刘海屏好看，最主要是逼格很高!家人已经买了之后又买了，以后需要买手机，还来京东。,2018-06-09 18:10:57,5,公开版,深空灰色,7,30
CQSJCC,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,外壳是京东的二次封装，但不影响手机，没有磕碰，物流很快，拿到手上到处都是指纹，简直是指纹收集器， 整体次我的6sp小很多，忽然有些嫌小呢，总是隔代用体验一直都挺好的，开机更新了系统感觉很棒很惊艳。第一天抢购了五六次，每次都很失望，完全抢不到，会员的提前几分钟完全是噱头，这个在众多评论里也看到了，这次购买也就是随便一点，之前抢不到就忽然不想买了，这次意外之喜,2017-11-18 17:10:55,5,公开版,银色,128,347
天***9,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,等了十多天终于到了。  挺给力的。棒极了,2017-11-18 12:15:15,5,公开版,深空灰色,38,123
j***b,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,一直在京东自营买东西。方便实惠。上次的7p也是京东自营买的-用了两年感觉很不错。所以在次信赖京东。本人不善拍照。各位轻喷。,2018-04-07 09:51:31,5,公开版,深空灰色,65,155
Ang小哥,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,我很少给评论的，但是苹果x的评论必须写，我是一个科技爱好者，这款产品我用了几天以后，感觉面部识别的速度有待提升，而且面部识别貌似只能识别一次，就是说识别一次没通过，需要上滑解释健在识别一次，或锁屏在次扫描，没有指纹那么灵活，希望苹果后期软件更新能改掉这一点，反应速度也是非常的惊人，操作手势虽然有点复杂，但是用习惯了还是很方便的，功能方面都差不多吧，总体来说值得购买的，恐怕你用惯全面屏以后就再也不会用四方四正的屏了，在用几天追加评价，告诉你们到底值不值得买,2017-12-14 14:49:08,5,公开版,银色,218,507
夏***6,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,用了一天才过来评价，iPhoneX没什么好说的，一个字：爽！有人说iPhoneX屏幕偏黄，去设置里，把原彩显示关了就行了。现在苹果四件套已经齐全了，iPhoneX，iPad，MacBook，AppleWatch3都是在京东苹果自营店买的，在微信果粉超市查的都是正品无疑，信任京东自营。哎，现在什么都有了就差一个女朋友了，23岁的我还没谈过恋爱，也是醉了！什么时候才能碰见一个心地善良，温柔专一，善解人意的女孩子和我白头偕老？等到老了还能手牵手过马路。反正我决定这辈子就只谈一次恋爱，认定一个人就是一辈子，无论她以后变成什么样子，我都不会抛弃她，当然她也必须这样对我才行，不然就要戴绿帽子了哈哈！不能忍不能忍。如果遇不到，我就做一辈子单身狗好了～汪汪汪！反正我属狗的！,2017-11-26 19:54:38,5,公开版,银色,568,942
第***街,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,首先确实比较难抢，很多人说3号晚上10点抢到的，我一直没刷出来，4号也没刷出来，5号中午突然看到说10点就开始限购了，我竟然不知道，又错过了，然后界面提示6号10点开始抢购。就一直等着吧。然后5号晚上八点多，无意中刷页面，竟然出现了可以加入购物车，赶紧就下单了，今早11就到了，物流没的说，快。到货后开始验机。完好无误。一打开始包装，第一眼确实惊艳，有分量，比起用的6来说。然后就是速度快，毫无卡顿，非常流程快速。touch id取消后，并没有不适应，反而确实更方便了。另外这个face id解锁是真心快。瞄一眼就解锁了，流畅自然。至于刘海部分，不必过于在意，本来上面一行就要显示基本信息。6服役了三年终于要退出了，换到x后，明显感觉到手机处理各种信息操作速度快。确实处理器强大吧。最后说说这个摄像头非常大，比起之前的明显大了不少。以前从不带壳，现在看看维修价格。还是老实把壳子带着。深空灰的配色整体一致性很好。总体来说值得拥有。,2017-11-06 20:38:57,5,公开版,深空灰色,69,87
简***阿,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,作为一名京东员工第二次在京东买手机了配送太快了中午下单下午就送到了，商品目前都是不错的有喜欢的朋友可以入手购买了，哈哈,2018-07-05 18:58:42,5,公开版,深空灰色,21,58
夏***克,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,手机2018.2.10  12.45激活的 我手机卡插上就4个多小时通话时间了 然后客服说是系统更新问题 让我重启 我重启了 还是那么多时间 后来接了个电话 时间就加长了 就算是我电信手机卡问题吧 自己的通话时长吧 我换联通卡 安上去没有识别信号 然后客服说信号不好 我手机卡在7上都能有信号啊 就算我联通卡有问题吧 这个问题也无所谓了 然后今天早上 我和朋友聊天 准备发个照片给他 结果就卡住了 点了 发不出去 点其他照片也没反应 就算是我微信软件有问题吧 后来我就准备用屏幕录制视频 反应问题 结果录制了 没有保存下来 这也不是什么大问题吧 我准备把我手机照片都删了 准备退货了 发现手机照片删不了 卡住了 这也不是什么大问题吧 我把照片后台程序关闭了重新删照片 删能删了 结果 在最近删除找 一个没有 点开相册 一个照片都不少  我拿手机拍下来了 拍了好多分钟 客服要我可以发给你 以上问题我感觉都不是问题 所以想想还是不退了吧 给个好评吧！早上朋友还发个链接给我 说京东有假货 我还说那不是京东自营店 然后就一直没说话了 客服那天还让我查序列号 我查了 正常 我不说瞎话 但是我手机确实有问题,2018-02-13 11:38:55,1,公开版,深空灰色,324,865
云***双,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,本来不怎么想买的，11月3号试着抢下，竟然5波全部阵亡?就不服气了，非要抢一个过来！直到11.11零点才抢到，不容易啊，手机非常好用，我的诺基亚终于可以退休了?,2017-11-14 14:38:31,5,公开版,银色,91,167
S***r,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,非常完美，11月25郑州出厂的，激活日期本日，没有任何说的毛病，64g完全够用，把6s的iCloud备份拿过来用好方便，摄像头完美无灰尘。过段时间再来评价。,2017-12-16 00:37:27,5,公开版,银色,28,107
丶***添,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,经常网购，总有大量的包裹收，感觉写评语花掉了我大量的时间和精力，可是如果随便谢谢，又觉得对不住辛苦的卖家和快递小哥，所以我准备了一段话送给那些我觉得值得五星好评的店家和快递，以此来表示我的感谢和尊敬，不得不说京东上的东西让我很放心，根本不需要仔细查验，鉴于京东的敬业，我毅然决然的决定加入PLUS行列，享受购物的乐趣，并且成为京东忠实的铁粉，京东配送体验一流，速度快，效率高，服务好，态度佳，简直行业翘楚，业内龙头，希望京东与我共同前行，在网购的路上肩并肩，手牵手，一路到白首。,2018-06-18 21:07:29,5,公开版,深空灰色,225,357
韦***2,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,用好几天手机系统很方便够快，京东快递也是快，下次再购买多一台,2017-11-20 23:40:55,5,公开版,深空灰色,3,18
J***4,金牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,首先京东发货比较快，快递服务好，这个值得赞扬，但是快递的包装服务真让人心寒，好几千块钱的东西 你一点保护的措施都没有，我们客户买几千块钱的商品，换来这样服务。真心说不过去，别的地方买个几块钱的东西，人家的保护措施都好过你们几倍，希望可以改进一下。 手机符合预期，很惊艳 很流畅。,2018-08-11 14:37:53,5,公开版,深空灰色,261,783
樂***密,银牌会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,京东还是挺不错的，虽然比找下贵了6-700，但是抢到一张24期免利息，也不错，挺给力的说下手机，拿到手朋友还是很羡慕的，给媳妇了，我只能拿她的7用用了，整体感觉不错，面部识别效果很好，运行速度挺棒的，拍照也好，整体现在没有任何问题，就是本人的英用有的是英文的，看不懂，都整理在一个档案夹里了，删除也删不掉，我也用不着京东下单快递还是很给力的，下午4点下单，第二天11点多就到了，一共还不超过20个小时，这个必须赞?下,2018-02-10 16:46:56,5,公开版,深空灰色,54,206
张***兮,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,一、各方面流畅，非常舒服用起来！手势非常习惯非常畅快！二、颜值手感都不错，但是性价比来说略贵，屏幕虽然全面屏，但是还是稍微稍微小了一点点，如果宽度和plus一样 手机稍大一点点我觉得更好！三、oled非常绚丽，屏幕非常好，但是刚开始眼睛适应不了，非常难受，去买了眼药水，毫不夸张，用了几天稍微缓解，这是oled通病，对眼睛杀伤力比较大！疲劳感很足！其他都满意，总体很满意，但我已出售因为第三点，期待下一代！,2017-11-12 00:00:25,5,公开版,深空灰色,74,267
陈***-,钻石会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,这是买这个手机很曲折，到手十来天了吧来说说。首先机子很完美，原封未开箱，脸部识别最开始有点不习惯两天后就越用越好用了。刘海看你个人了，反正对比其他安卓厂商上面一个边下面一个边还非说是全面屏。包括iPhonex也都只算得上异形全面屏。手机很好用，大小电池都还不错。唯有这一次京东的保险套餐版本让人非常吐槽，同一个地区保险套餐有货隔日达，公开版却显示无果。这其中的猫腻不用直说。最终我是一天半夜打开一看有一部公开版就买了。,2017-12-01 18:21:33,5,公开版,深空灰色,105,467
q***s,PLUS会员,Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,双十一当天零点终于抢到了，昨天晚上就到了，速度很快，还是京东自营值得信赖。和我预想的差不多，我觉得齐刘海挺好看的，面容ID非常灵敏，我觉得比TouchID好用。装上早就买好的膜和套，再合适不过了！重量比我预想的要沉一些，但很有手感！iOS用了这么多年，早就已经习惯了，对于这次的一些小改动，相信可以很快适应，我很喜欢这个风格。,2017-11-13 16:24:18,5,公开版,银色,72,136
